EX1,All postcodes,13239,37429008.04918167,2827.1778872408545,2211.6000000004856
EX1,EX1 1AF,9,33195.48743169398,3688.3874924104425,2984.9000000000005
EX1,EX1 1AN,9,13368.3,1485.3666666666666,1217.8999999999999
EX1,EX1 1AP,23,113077.4,4916.408695652173,2882.599999999999
EX1,EX1 1AS,11,16455.9,1495.9909090909093,1206.0
EX1,EX1 1AT,6,11389.199999999999,1898.1999999999998,1574.6499999999999
EX1,EX1 1AU,7,10836.300000000001,1548.0428571428572,1290.3
EX1,EX1 1AW,10,13655.000000000002,1365.5000000000002,1477.2
EX1,EX1 1BA,7,17318.3,2474.042857142857,1925.5
EX1,EX1 1BB,21,68259.3,3250.442857142857,1761.0
EX1,EX1 1BD,20,53686.3,2684.315,1777.3499999999992
EX1,EX1 1BE,6,12994.382513661203,2165.730418943534,1864.2
EX1,EX1 1BG,16,30104.800000000003,1881.5500000000002,1728.4000000000005
EX1,EX1 1BJ,16,42193.4,2637.0875,2072.4000000000005
EX1,EX1 1BN,8,21117.6,2639.7,2380.0499999999997
EX1,EX1 1BZ,19,39272.899999999994,2066.994736842105,1743.0
EX1,EX1 1DB,28,86331.50000000001,3083.267857142858,1841.8000000000009
EX1,EX1 1DE,11,19144.7,1740.4272727272728,1452.2000000000005
EX1,EX1 1DF,6,7860.699999999999,1310.1166666666666,1359.4499999999998
EX1,EX1 1DG,20,40307.79,2015.3895,1749.4000000000008
EX1,EX1 1DJ,26,50467.209180327874,1941.0465069356874,1592.4499999999998
EX1,EX1 1DL,21,46239.09999999999,2201.8619047619045,1635.2000000000005
EX1,EX1 1DN,11,18690.300000000003,1699.1181818181822,820.1000000000003
EX1,EX1 1DP,10,13481.0,1348.1,1285.0
EX1,EX1 1DR,30,47814.2,1593.8066666666666,1272.8
EX1,EX1 1DS,33,56375.45868852459,1708.3472329855936,1241.7786885245903
EX1,EX1 1DT,7,12538.8,1791.2571428571428,1436.1000000000001
EX1,EX1 1DU,10,14368.5,1436.85,1394.7000000000003
EX1,EX1 1DX,13,23563.699999999997,1812.5923076923075,2061.2000000000003
EX1,EX1 1EB,6,30496.8,5082.8,2438.8999999999996
EX1,EX1 1EE,19,44680.100000000006,2351.584210526316,1822.4000000000008
EX1,EX1 1EN,5,28206.1,5641.219999999999,5243.5
EX1,EX1 1ES,10,40293.7,4029.37,3506.8499999999995
EX1,EX1 1EZ,9,26692.8,2965.866666666667,3010.5
EX1,EX1 1GD,10,15411.8,1541.1799999999998,1671.9500000000003
EX1,EX1 1GH,19,29661.899999999998,1561.1526315789472,1512.9000000000005
EX1,EX1 1GL,12,22653.800000000003,1887.8166666666668,1732.5499999999995
EX1,EX1 1GP,36,62568.67700000001,1738.018805555556,1632.8499999999992
EX1,EX1 1GR,11,22144.019999999997,2013.092727272727,1053.0
EX1,EX1 1HB,10,28570.200000000004,2857.0200000000004,1878.5
EX1,EX1 1JA,9,40786.3542568306,4531.817139647845,3899.5
EX1,EX1 1LR,31,183520.09999999998,5920.003225806451,5917.799999999997
EX1,EX1 1NP,14,54921.5,3922.964285714286,1452.2000000000003
EX1,EX1 1PD,24,43952.59999999999,1831.358333333333,1477.8499999999995
EX1,EX1 1RX,38,102487.41147540983,2697.0371440897325,1848.9499999999987
EX1,EX1 1SA,37,113599.81139890708,3070.2651729434347,2273.8000000000015
EX1,EX1 1SB,35,91290.11229508196,2608.2889227166274,2267.6000000000004
EX1,EX1 1SE,33,211502.007,6409.151727272728,3574.5
EX1,EX1 1SL,28,105924.20000000001,3783.007142857143,2826.15
EX1,EX1 1SR,15,56707.25,3780.483333333333,3794.900000000001
EX1,EX1 1SX,10,31899.299999999996,3189.9299999999994,2075.8499999999995
EX1,EX1 1SY,16,44668.3,2791.76875,1660.6500000000005
EX1,EX1 1TA,8,22190.141530054647,2773.767691256831,2026.4707650273228
EX1,EX1 1TB,7,10903.9,1557.7,1471.2000000000003
EX1,EX1 1TD,12,22329.97349726776,1860.8311247723134,1701.5
EX1,EX1 1TE,38,148024.1943169399,3895.373534656313,2965.75
EX1,EX1 1TG,6,16444.699999999997,2740.783333333333,2929.75
EX1,EX1 1TL,16,75377.299,4711.0811875,3492.349999999999
EX1,EX1 1TQ,73,206633.63060109294,2830.5976794670264,1969.8000000000006
EX1,EX1 1TX,6,6200.6,1033.4333333333334,939.0
EX1,EX1 1UF,31,153501.2852240437,4951.654362065926,2724.399999999999
EX1,EX1 1UG,31,176911.8098360656,5706.832575356955,5152.100000000003
EX1,EX1 1UN,14,19853.2,1418.0857142857144,1362.8999999999999
EX1,EX1 2AF,5,16806.0,3361.2,1592.9
EX1,EX1 2AL,5,9206.800000000001,1841.3600000000001,1643.0
EX1,EX1 2AW,28,60746.90000000001,2169.5321428571433,2041.349999999999
EX1,EX1 2AX,6,8415.2,1402.5333333333335,1110.45
EX1,EX1 2BD,6,24951.6,4158.599999999999,4120.599999999999
EX1,EX1 2BE,17,33320.359016393435,1960.0211186113786,1555.7999999999995
EX1,EX1 2BG,23,58126.3,2527.230434782609,1697.8
EX1,EX1 2BH,23,42549.24001092897,1849.9669569969117,1696.5999999999992
EX1,EX1 2BJ,6,11775.56393442623,1962.5939890710385,2188.5499999999997
EX1,EX1 2BL,5,5751.200000000001,1150.2400000000002,916.7
EX1,EX1 2BN,9,20252.4,2250.266666666667,2144.4
EX1,EX1 2BQ,6,10416.3,1736.05,1386.05
EX1,EX1 2BR,24,59082.5,2461.7708333333335,1776.9000000000008
EX1,EX1 2BU,37,97807.30000000002,2643.440540540541,2388.8000000000015
